[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[17.902, 3065.132, 6302.049]
[1.69, 3065.132, 6302.049]
[1.69, 3065.132, 6302.049]
[1.69, 3065.132, 6302.049]
[1.69, 3065.132, 6302.049]
[1.69, 3065.132, 6302.049]
[1.69, 3065.132, 6302.049]
[1.69, 3065.132, 6302.049]
[1.69, 3065.132, 6302.049]
[2920.546, 6222.19, 9461.31]
[2918.015, 6221.796, 9460.229]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6221.796, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6218.698, 9459.273]
[2918.015, 6212.065, 9459.273]
[2918.015, 6212.065, 9459.273]
[2918.015, 6212.065, 9459.273]
[2918.015, 6212.065, 9459.273]
[2918.015, 6212.065, 9459.273]
[2918.015, 6212.065, 9459.273]
[2918.015, 6212.065, 9459.273]
[2918.015, 6212.065, 9459.273]
[2918.015, 6212.065, 9459.273]
[2918.015, 6212.065, 9459.273]
[2918.015, 6212.065, 9459.273]
[2918.015, 6212.065, 9459.273]
[2918.015, 6212.065, 9453.62]
[2918.015, 6212.065, 9453.62]
[2918.015, 6212.065, 9453.62]
[2918.015, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2917.92, 6212.065, 9453.62]
[2820.028, 6071.851, 9342.736]
[2820.028, 6071.851, 9342.736]
[2820.028, 6071.792, 9342.451]
[2820.028, 6071.792, 9342.403]
[2820.028, 6071.792, 9342.403]
[2820.028, 6071.682, 9342.403]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6071.682, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
[2820.028, 6069.943, 9342.398]
